unique_id,group_id,h5ad_file
SCPCL000001-SCPCS000001,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000001/SCPCL000001_processed_rna.h5ad
SCPCL000002-SCPCS000002,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000002/SCPCL000002_processed_rna.h5ad
SCPCL000003-SCPCS000003,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000003/SCPCL000003_processed_rna.h5ad
SCPCL000004-SCPCS000004,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000004/SCPCL000004_processed_rna.h5ad
SCPCL000005-SCPCS000005,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000005/SCPCL000005_processed_rna.h5ad
SCPCL000006-SCPCS000006,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000006/SCPCL000006_processed_rna.h5ad
SCPCL000007-SCPCS000007,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000007/SCPCL000007_processed_rna.h5ad
SCPCL000008-SCPCS000008,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000008/SCPCL000008_processed_rna.h5ad
SCPCL000009-SCPCS000009,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000009/SCPCL000009_processed_rna.h5ad
SCPCL000010-SCPCS000010,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000010/SCPCL000010_processed_rna.h5ad
SCPCL000011-SCPCS000011,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000011/SCPCL000011_processed_rna.h5ad
SCPCL000012-SCPCS000012,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000012/SCPCL000012_processed_rna.h5ad
SCPCL000013-SCPCS000013,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000013/SCPCL000013_processed_rna.h5ad
SCPCL000014-SCPCS000014,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000014/SCPCL000014_processed_rna.h5ad
SCPCL000015-SCPCS000015,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000015/SCPCL000015_processed_rna.h5ad
SCPCL000016-SCPCS000016,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000016/SCPCL000016_processed_rna.h5ad
SCPCL000017-SCPCS000017,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000017/SCPCL000017_processed_rna.h5ad
SCPCL000018-SCPCS000018,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000018/SCPCL000018_processed_rna.h5ad
SCPCL000019-SCPCS000019,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000019/SCPCL000019_processed_rna.h5ad
SCPCL000020-SCPCS000020,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000020/SCPCL000020_processed_rna.h5ad
SCPCL000021-SCPCS000021,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000021/SCPCL000021_processed_rna.h5ad
SCPCL000022-SCPCS000022,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000022/SCPCL000022_processed_rna.h5ad
SCPCL000023-SCPCS000023,SCPCP000001,s3://openscpca-test-data-release-public-access/test/SCPCP000001/SCPCS000023/SCPCL000023_processed_rna.h5ad
